Vₜₚ,f,f₀,T,θ
-0.89 ± 0.02,905.3 ± 0.1,954.0 ± 0.1,4.51 ± 0.49,9.051 ± 0.028
-0.77 ± 0.02,905.45 ± 0.1,953.7 ± 0.1,7.44 ± 0.49,9.139 ± 0.028
-0.63 ± 0.02,905.3 ± 0.1,953.8 ± 0.1,10.85 ± 0.49,9.09 ± 0.028
-0.52 ± 0.02,906.3 ± 0.1,954.0 ± 0.1,13.54 ± 0.49,9.256 ± 0.029
-0.44 ± 0.02,907.9 ± 0.1,954.0 ± 0.1,15.49 ± 0.49,9.603 ± 0.031
-0.37 ± 0.02,910.5 ± 0.1,954.03 ± 0.1,17.2 ± 0.49,10.214 ± 0.035
-0.32 ± 0.02,914.68 ± 0.1,954.1 ± 0.1,18.41 ± 0.49,11.355 ± 0.042
-0.27 ± 0.02,920.05 ± 0.1,953.88 ± 0.1,19.63 ± 0.49,13.356 ± 0.058
-0.21 ± 0.02,929.25 ± 0.1,953.98 ± 0.1,21.1 ± 0.49,18.54 ± 0.11
-0.16 ± 0.02,935.61 ± 0.1,954.25 ± 0.1,22.32 ± 0.49,24.85 ± 0.19
-0.08 ± 0.02,942.44 ± 0.1,953.81 ± 0.1,24.27 ± 0.49,41.23 ± 0.52
0.01 ± 0.02,946.0 ± 0.1,954.37 ± 0.1,26.46 ± 0.49,56.28 ± 0.96
0.11 ± 0.02,947.76 ± 0.1,954.38 ± 0.1,28.9 ± 0.49,71.4 ± 1.5
0.22 ± 0.02,949.01 ± 0.1,954.38 ± 0.1,31.59 ± 0.49,88.0 ± 2.3
0.3 ± 0.02,949.79 ± 0.1,954.4 ± 0.1,33.54 ± 0.49,102.8 ± 3.2
0.4 ± 0.02,950.0 ± 0.1,954.39 ± 0.1,35.98 ± 0.49,108.0 ± 3.5
0.52 ± 0.02,950.5 ± 0.1,954.4 ± 0.1,38.9 ± 0.49,121.6 ± 4.4
0.54 ± 0.02,950.55 ± 0.1,954.4 ± 0.1,39.39 ± 0.49,123.3 ± 4.6
0.6 ± 0.02,950.9 ± 0.1,954.2 ± 0.1,40.85 ± 0.49,143.7 ± 6.2
0.63 ± 0.02,950.82 ± 0.1,954.41 ± 0.1,41.59 ± 0.49,132.2 ± 5.2
0.65 ± 0.02,950.79 ± 0.1,954.34 ± 0.1,42.07 ± 0.49,133.8 ± 5.4
0.71 ± 0.02,951.15 ± 0.1,953.88 ± 0.1,43.54 ± 0.49,174.5 ± 9.1
0.75 ± 0.02,951.06 ± 0.1,953.92 ± 0.1,44.51 ± 0.49,165.7 ± 8.2
0.8 ± 0.02,951.22 ± 0.1,954.21 ± 0.1,45.73 ± 0.49,159.1 ± 7.6
0.86 ± 0.02,951.32 ± 0.1,954.55 ± 0.1,47.2 ± 0.49,147.0 ± 6.5
0.9 ± 0.02,951.37 ± 0.1,954.03 ± 0.1,48.17 ± 0.49,178.3 ± 9.5
